UF;COD. UF;COD. MUNIC;MUNICIPIO;POPULAÇÃO ESTIMADA
GO;52;50;Abadia de Goiás;9158
MG;31;104;Abadia dos Dourados;7022
GO;52;100;Abadiânia;20873
MG;31;203;Abaete;23263
PA;15;107;Abaetetuba;160439
CE;23;101;Abaiara;11965
BA;29;108;Abaíra;8681
BA;29;207;Abaré;20594
PR;41;103;Abatiá;7360
SC;42;51;Abdon Batista;2534
PA;15;131;Abel Figueiredo;7536
SC;42;101;Abelardo Luz;18015
MG;31;302;Abre Campo;13434
PE;26;54;Abreu e Lima;100698
TO;17;251;Abreulândia;2609
MG;31;401;Acaiaca;3995
MA;21;55;Açailândia;113783
BA;29;306;Acajutiba;15214
PA;15;206;Acará;55744
CE;23;150;Acarape;15140
CE;23;200;Acaraú;63556
RN;24;109;Acari;11106
PI;22;53;Acauã;7119
RS;43;34;Aceguá;4981
CE;23;309;Acopiara;54687
MT;51;102;Acorizal;5309
AC;12;13;Acrelândia;15721
GO;52;134;Acreúna;22710
RN;24;208;Açu;58743
MG;31;500;Açucena;9270
SP;35;105;Adamantina;35153
GO;52;159;Adelândia;2515
SP;35;204;Adolfo;3545
PR;41;202;Adrianópolis;5797
BA;29;355;Adustina;17209
PE;26;104;Afogados da Ingazeira;37546
RN;24;307;Afonso Bezerra;11024
ES;32;102;Afonso Cláudio;30326
MA;21;105;Afonso Cunha;6631
PE;26;203;Afrânio;19981
PA;15;305;Afuá;39910
PE;26;302;Agrestina;25240
PI;22;103;Agricolândia;5123
SC;42;200;Agrolândia;11160
SC;42;309;Agronômica;5570
PA;15;347;Água Azul do Norte;27797
MG;31;609;Água Boa;13319
MT;51;201;Água Boa;26679
AL;27;102;Água Branca;20263
PB;25;106;Água Branca;10375
PI;22;202;Água Branca;17525
MS;50;203;Água Clara;16025
MG;31;708;Água Comprida;1986
SC;42;408;Água Doce;7160
MA;21;154;Água Doce do Maranhão;12731
ES;32;169;Água Doce do Norte;10801
BA;29;405;Água Fria;17096
GO;52;175;Água Fria de Goiás;5843
GO;52;209;Água Limpa;1809
RN;24;406;Água Nova;3293
PE;26;401;Água Preta;37386
RS;43;59;Água Santa;3738
SP;35;303;Aguaí;36981
MG;31;807;Aguanil;4557
PE;26;500;Águas Belas;43923
SP;35;402;Águas da Prata;8262
SC;42;507;Águas de Chapecó;6544
SP;35;501;Águas de Lindóia;18908
SP;35;550;Águas de Santa Bárbara;6142
SP;35;600;Águas de São Pedro;3588
MG;31;906;Águas Formosas;19285
SC;42;556;Águas Frias;2341
GO;52;258;Águas Lindas de Goiás;222850
SC;42;606;Águas Mornas;6646
MG;31;1003;Águas Vermelhas;13656
RS;43;109;Agudo;16344
SP;35;709;Agudos;37582
PR;41;301;Agudos do Sul;9567
ES;32;136;Águia Branca;9621
PB;25;205;Aguiar;5622
TO;17;301;Aguiarnópolis;7049
MG;31;1102;Aimorés;25116
BA;29;603;Aiquara;4387
CE;23;408;Aiuaba;17584
MG;31;1201;Aiuruoca;5949
RS;43;208;Ajuricaba;6951
MG;31;1300;Alagoa;2657
PB;25;304;Alagoa Grande;28384
PB;25;403;Alagoa Nova;20992
PB;25;502;Alagoinha;14629
PE;26;609;Alagoinha;14798
PI;22;251;Alagoinha do Piauí;7678
BA;29;702;Alagoinhas;153023
SP;35;758;Alambari;6231
MG;31;1409;Albertina;3015
MA;21;204;Alcântara;22126
CE;23;507;Alcântaras;11846
PB;25;536;Alcantil;5527
MS;50;252;Alcinópolis;5489
BA;29;801;Alcobaça;22509
MA;21;303;Aldeias Altas;26979
RS;43;307;Alecrim;5710
ES;32;201;Alegre;29869
RS;43;406;Alegrete;72493
PI;22;277;Alegrete do Piauí;4921
RS;43;455;Alegria;3287
MG;31;1508;Além Paraíba;35438
PA;15;404;Alenquer;57390
RN;24;505;Alexandria;13529
GO;52;308;Alexânia;28360
MG;31;1607;Alfenas;80973
ES;32;300;Alfredo Chaves;14670
SP;35;808;Alfredo Marcondes;4201
MG;31;1631;Alfredo Vasconcelos;7052
SC;42;705;Alfredo Wagner;10136
PB;25;577;Algodão de Jandaíra;2588
PB;25;601;Alhandra;19865
PE;26;708;Aliança;38408
TO;17;350;Aliança do Tocantins;5303
BA;29;900;Almadina;5273
TO;17;400;Almas;6905
PA;15;503;Almeirim;34044
MG;31;1706;Almenara;42380
RN;24;604;Almino Afonso;4685
PR;41;400;Almirante Tamandaré;121420
RS;43;471;Almirante Tamandaré do Sul;1935
GO;52;506;Aloândia;1976
MG;31;1805;Alpercata;7448
RS;43;505;Alpestre;5885
MG;31;1904;Alpinópolis;20059
MT;51;250;Alta Floresta;52105
RO;11;15;Alta Floresta D'Oeste;22516
SP;35;907;Altair;4211
PA;15;602;Altamira;117320
MA;21;402;Altamira do Maranhão;8250
PR;41;459;Altamira do Paraná;1429
CE;23;606;Altaneira;7712
MG;31;2001;Alterosa;14566
PE;26;807;Altinho;22996
SP;35;1004;Altinópolis;16221
RR;14;50;Alto Alegre;15249
