UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
GO;ABADIA DE GOIAS;5344;2561;0;198;51;526;114;0;50;11;1210;225;16;0;299;48;0;2;0;0;1;32
MG;ABADIA DOS DOURADOS;4610;2406;0;212;26;497;66;0;10;39;1059;121;22;0;106;33;0;0;0;0;2;11
GO;ABADIANIA;6418;3187;0;343;44;731;163;0;10;40;1264;232;37;0;290;40;0;0;0;0;2;35
MG;ABAETE;13893;7659;0;519;74;1439;284;0;128;52;2257;751;192;0;386;82;9;0;0;0;4;57
PA;ABAETETUBA;38617;6439;0;470;62;1077;514;0;261;36;20522;8460;318;0;198;72;0;1;0;0;75;112
CE;ABAIARA;2824;669;0;59;1;185;21;0;2;31;1749;60;9;0;34;3;0;0;0;0;0;1
BA;ABAIRA;2309;1036;0;66;6;300;31;0;0;32;721;68;17;0;7;10;0;0;0;0;0;15
BA;ABARE;2766;715;0;57;1;263;23;0;0;42;1561;51;25;0;20;1;0;0;0;0;2;5
PR;ABATIA;4368;2376;0;197;32;473;92;0;1;13;949;75;56;0;44;46;0;0;0;1;1;12
SC;ABDON BATISTA;1819;1019;0;81;8;277;26;0;0;4;335;20;15;0;19;7;0;1;0;2;0;5
PA;ABEL FIGUEIREDO;1588;323;0;82;18;203;15;0;0;6;749;135;7;0;22;22;0;0;0;0;1;5
SC;ABELARDO LUZ;12309;6706;0;436;174;1548;420;0;2;28;1896;251;142;0;210;289;3;4;0;1;0;199
MG;ABRE CAMPO;6694;3156;0;280;94;750;106;0;21;17;1955;15;56;0;77;134;0;0;0;0;2;31
PE;ABREU E LIMA;31766;16071;0;688;141;1351;1592;0;398;92;10029;373;355;0;407;168;0;0;0;3;5;93
