regiao,UF,municipio,populacao,frota total
N,RO,alta floresta d'oeste,22516,15771
N,RO,ariquemes,111148,80881
N,RO,cabixi,5067,3952
N,RO,cacoal,86416,74210
N,RO,cerejeiras,16088,12813
N,RO,colorado do oeste,15213,13333
N,RO,corumbiara,7052,4552
N,RO,costa marques,19255,5101
N,RO,espigao d'oeste,33009,20419
N,RO,guajara-mirim,46930,18556
N,RO,jaru,51469,41023
N,RO,ji-parana,131026,100918
N,RO,machadinho d'oeste,41724,16532
N,RO,nova brasilandia d'oeste,20504,10623
N,RO,ouro preto do oeste,35445,28973
N,RO,pimenta bueno,37098,26480
N,RO,porto velho,548952,301069
N,RO,presidente medici,18165,12499
N,RO,rio crespo,3843,1332
N,RO,rolim de moura,55748,48402
N,RO,santa luzia d'oeste,5942,4946
N,RO,vilhena,104517,70293
N,RO,sao miguel do guapore,23147,12336
N,RO,nova mamore,32184,11013
N,RO,alvorada d'oeste,13807,8937
N,RO,alto alegre dos parecis,13268,5700
N,RO,alto paraiso,22258,8964
N,RO,buritis,41043,24160
N,RO,novo horizonte do oeste,8125,5024
N,RO,cacaulandia,6307,2293
N,RO,campo novo de rondonia,14391,3486
N,RO,candeias do jamari,28068,7536
N,RO,castanheiras,2923,1489
N,RO,chupinguaia,11755,3877
N,RO,cujubim,27131,7167
N,RO,governador jorge teixeira,7130,4718
N,RO,itapua do oeste,10819,3741
N,RO,ministro andreazza,9461,5376
N,RO,mirante da serra,10691,7349
N,RO,monte negro,16158,7700
N,RO,nova uniao,6822,3755
N,RO,parecis,6319,2058
N,RO,pimenteiras do oeste,2127,786
N,RO,primavera de rondonia,2697,1874
N,RO,sao felipe d'oeste,4962,3208
N,RO,sao francisco do guapore,21088,9929
N,RO,seringueiras,11846,6900
N,RO,teixeiropolis,4160,2843
N,RO,theobroma,10348,4219
N,RO,urupa,11081,8090
N,RO,vale do anari,11545,3767
N,RO,vale do paraiso,6490,4375
N,AC,acrelandia,15721,7053
N,AC,assis brasil,7649,2017
N,AC,brasileia,27123,10920
N,AC,bujari,10572,2357
N,AC,capixaba,12280,2425
N,AC,cruzeiro do sul,89760,35835
N,AC,epitaciolandia,18979,7151
N,AC,feijo,34986,4222
N,AC,jordao,8628,142
N,AC,mancio lima,19643,3987
N,AC,manoel urbano,9701,1278
N,AC,marechal thaumaturgo,19727,387
N,AC,placido de castro,20147,5152
N,AC,porto walter,12497,367
N,AC,rio branco,419452,197972
N,AC,rodrigues alves,19767,1736
N,AC,santa rosa do purus,6893,204
N,AC,senador guiomard,23446,7357
N,AC,sena madureira,47168,9392
N,AC,tarauaca,43730,5266
N,AC,xapuri,19866,4696
N,AC,porto acre,19141,4079
N,AM,alvaraes,16396,806
N,AM,amatura,11934,339
N,AM,anama,14292,215
N,AM,anori,21937,543
N,AM,apui,22739,4294
N,AM,atalaia do norte,20868,535
N,AM,autazes,41005,2281
N,AM,barcelos,27772,1173
N,AM,barreirinha,32919,710
N,AM,benjamin constant,44873,1890
N,AM,beruri,20503,446
N,AM,boa vista do ramos,20040,470
N,AM,boca do acre,34958,3637
N,AM,borba,42328,957
N,AM,caapiranga,13482,318
N,AM,canutama,15981,265
N,AM,carauari,28719,2871
N,AM,careiro,38820,2857
N,AM,careiro da varzea,31459,515
N,AM,coari,86713,10894
N,AM,codajas,29691,681
N,AM,eirunepe,36121,2081
N,AM,envira,20748,510
N,AM,fonte boa,16409,1707
N,AM,guajara,17193,409
N,AM,humaita,57195,9362
N,AM,ipixuna,31172,40
N,AM,iranduba,49718,7950
N,AM,itacoatiara,104046,25636
N,AM,itamarati,7777,315
N,AM,itapiranga,9312,930
N,AM,japura,1755,408
N,AM,jurua,15495,540
N,AM,jutai,13462,738
N,AM,labrea,47685,2601
N,AM,manacapuru,99613,18712
N,AM,manaquiri,33981,842
N,AM,manaus,2255903,803020
N,AM,manicore,57405,2627
N,AM,maraa,18298,613
N,AM,maues,66159,5415
N,AM,nhamunda,21710,594
N,AM,nova olinda do norte,38665,1282
N,AM,novo airao,20395,1583
N,AM,novo aripuana,26443,958
N,AM,parintins,116439,19984
N,AM,pauini,19616,256
N,AM,presidente figueiredo,38095,7588
N,AM,rio preto da eva,34856,5080
N,AM,santa isabel do rio negro,26566,439
N,AM,santo antonio do ica,20889,956
N,AM,sao gabriel da cachoeira,47031,4301
N,AM,sao paulo de olivenca,40837,1331
N,AM,sao sebastiao do uatuma,14678,323
N,AM,silves,9289,536
N,AM,tabatinga,68502,10475
N,AM,tapaua,16876,609
N,AM,tefe,59250,12955
N,AM,tonantins,19038,526
N,AM,uarini,13839,601
N,AM,urucara,16007,836
N,AM,urucurituba,24098,657
N,RR,amajari,13561,854
N,RR,alto alegre,15249,2323
N,RR,boa vista,436591,213080
N,RR,bonfim,12701,1204
N,RR,canta,19257,1646
N,RR,caracarai,22635,3622
N,RR,caroebe,10595,2811
N,RR,iracema,12637,1251
N,RR,mucajai,18482,4364
N,RR,normandia,11772,772
N,RR,pacaraima,20108,2122
N,RR,rorainopolis,31387,7378
N,RR,sao joao da baliza,8492,2191
N,RR,sao luiz,8232,1917
N,RR,uiramuta,11014,71
N,PA,abaetetuba,160439,38617
N,PA,abel figueiredo,7536,1588
